Source,Headline,lower_headline,cleaned_text
BBC,Moment newly opened nosepiece partially tumble in China,moment newly opened nosepiece partially tumble in china,moment newly opened nosepiece partially tumble in china
BBC,"Australia at risk of 'high-impact sabotage' from China, says spy chief","australia at risk of 'high-impact sabotage' from china, says spy chief",australia at risk of highimpact sabotage from china says spy chief
BBC,"Australia at hazard of ' in high spirits - impact sabotage ' from Mainland china, says undercover agent chief","australia at hazard of ' in high spirits - impact sabotage ' from mainland china, says undercover agent chief",australia at hazard of  in high spirits  impact sabotage  from mainland china says undercover agent chief
BBC,Evidence of ancient tree-climbing 'drop crocs' found in Australia,evidence of ancient tree-climbing 'drop crocs' found in australia,evidence of ancient treeclimbing drop crocs found in australia
BBC,Grounds of ancient tree - climbing ' drop crocs ' find in Australia,grounds of ancient tree - climbing ' drop crocs ' find in australia,grounds of ancient tree  climbing  drop crocs  find in australia
BBC,India's start-ups fire up public markets amid valuation concerns,india's start-ups fire up public markets amid valuation concerns,indias startups fire up public markets amid valuation concerns
BBC,Republic of india ' s start - ups fervidness up public markets amid valuation concerns,republic of india ' s start - ups fervidness up public markets amid valuation concerns,republic of india  s start  ups fervidness up public markets amid valuation concerns
BBC,"China needs its youth to spend, but they are embracing frugality","china needs its youth to spend, but they are embracing frugality",china needs its youth to spend but they are embracing frugality
BBC,"China needs its youth to spend, but they be embracing frugality","china needs its youth to spend, but they be embracing frugality",china needs its youth to spend but they be embracing frugality
BBC,Must watch,must watch,must watch
BBC,Moldiness watch,moldiness watch,moldiness watch
BBC,Protesters clash with security at COP30 climate talks in Brazil,protesters clash with security at cop30 climate talks in brazil,protesters clash with security at cop climate talks in brazil
BBC,Protesters clash with security at COP30 climate talks in Brasil,protesters clash with security at cop30 climate talks in brasil,protesters clash with security at cop climate talks in brasil
BBC,Trump and Obama honour US troops for Veterans Day,trump and obama honour us troops for veterans day,trump and obama honour us troops for veterans day
BBC,Trump and Obama honor US troop for Veterans Day,trump and obama honor us troop for veterans day,trump and obama honor us troop for veterans day
BBC,Suicide attack outside Pakistan court kills 12,suicide attack outside pakistan court kills 12,suicide attack outside pakistan court kills
BBC,Suicide attack outside Islamic republic of pakistan court pour down 12,suicide attack outside islamic republic of pakistan court pour down 12,suicide attack outside islamic republic of pakistan court pour down
BBC,The Kenyan start-up aiming to electrify African transport,the kenyan start-up aiming to electrify african transport,the kenyan startup aiming to electrify african transport
BBC,The Kenyan starting signal - up aiming to electrify African transportation,the kenyan starting signal - up aiming to electrify african transportation,the kenyan starting signal  up aiming to electrify african transportation
BBC,Lion saves pregnant hyena from wild dog attack,lion saves pregnant hyena from wild dog attack,lion saves pregnant hyena from wild dog attack
BBC,Lion saves fraught hyena from raving mad dog attack,lion saves fraught hyena from raving mad dog attack,lion saves fraught hyena from raving mad dog attack
BBC,"'I'm very proud of our journalists', says outgoing BBC director general","'i'm very proud of our journalists', says outgoing bbc director general",im very proud of our journalists says outgoing bbc director general
BBC,"' I ' m really proud of our journalists ', say outgoing BBC film director general","' i ' m really proud of our journalists ', say outgoing bbc film director general",i  m really proud of our journalists  say outgoing bbc film director general
BBC,What would pundits change about football?,what would pundits change about football?,what would pundits change about football
BBC,"'Government, just do your job': Frustration at US airports as shutdown delays continue","'government, just do your job': frustration at us airports as shutdown delays continue",government just do your job frustration at us airports as shutdown delays continue
BBC,"' Government, just do your job ': Defeat at US airdrome as shutdown delays continue","' government, just do your job ': defeat at us airdrome as shutdown delays continue",government just do your job  defeat at us airdrome as shutdown delays continue
BBC,Culture,culture,culture
BBC,Finish,finish,finish
BBC,Global girl group Katseye have received 'thousands' of death threats,global girl group katseye have received 'thousands' of death threats,global girl group katseye have received thousands of death threats
BBC,Global girl mathematical group Katseye have incur ' thousands ' of death threats,global girl mathematical group katseye have incur ' thousands ' of death threats,global girl mathematical group katseye have incur  thousands  of death threats
BBC,Business,business,business
BBC,Commercial enterprise,commercial enterprise,commercial enterprise
BBC,Starbucks' baristas are striking again – will that hold back the chain's recovery?,starbucks' baristas are striking again – will that hold back the chain's recovery?,starbucks baristas are striking again  will that hold back the chains recovery
BBC,Starbucks ' baristas are striking over again – will that book back the chain ' s retrieval?,starbucks ' baristas are striking over again – will that book back the chain ' s retrieval?,starbucks  baristas are striking over again  will that book back the chain  s retrieval
BBC,US & Canada news,us & canada news,us  canada news
BBC,US & Canada word,us & canada word,us  canada word
BBC,JFK's grandson Jack Schlossberg to run for Congress,jfk's grandson jack schlossberg to run for congress,jfks grandson jack schlossberg to run for congress
BBC,JFK ' s grandson Jack Schlossberg to lam for Congress,jfk ' s grandson jack schlossberg to lam for congress,jfk  s grandson jack schlossberg to lam for congress
BBC,Indiana joins growing US battle over redrawing electoral maps,indiana joins growing us battle over redrawing electoral maps,indiana joins growing us battle over redrawing electoral maps
BBC,Indiana joins grow US battle over redrawing electoral function,indiana joins grow us battle over redrawing electoral function,indiana joins grow us battle over redrawing electoral function
BBC,Families of Camp Mystic victims sue owners over deadly Texas flood,families of camp mystic victims sue owners over deadly texas flood,families of camp mystic victims sue owners over deadly texas flood
BBC,Families of Refugee camp Mystic victims eugene sue owners over lifelessly Texas flood,families of refugee camp mystic victims eugene sue owners over lifelessly texas flood,families of refugee camp mystic victims eugene sue owners over lifelessly texas flood
BBC,Trump asks Supreme Court to overturn E Jean Carroll verdict,trump asks supreme court to overturn e jean carroll verdict,trump asks supreme court to overturn e jean carroll verdict
BBC,Trump asks Supreme Lawcourt to overturn E Jean Charles dodgson verdict,trump asks supreme lawcourt to overturn e jean charles dodgson verdict,trump asks supreme lawcourt to overturn e jean charles dodgson verdict
BBC,More world news,more world news,more world news
BBC,More mankind news,more mankind news,more mankind news
BBC,Thailand extradites owner of Myanmar scam city to China,thailand extradites owner of myanmar scam city to china,thailand extradites owner of myanmar scam city to china
BBC,Thailand deport owner of Myanmar diddle city to China,thailand deport owner of myanmar diddle city to china,thailand deport owner of myanmar diddle city to china
BBC,Schools go hybrid as Delhi's air quality worsens,schools go hybrid as delhi's air quality worsens,schools go hybrid as delhis air quality worsens
BBC,School day go hybrid as Delhi ' s strain character worsens,school day go hybrid as delhi ' s strain character worsens,school day go hybrid as delhi  s strain character worsens
BBC,Dominican Republic suffers nationwide power cut after 'cascade of failures',dominican republic suffers nationwide power cut after 'cascade of failures',dominican republic suffers nationwide power cut after cascade of failures
BBC,Dominican Republic suffers nationwide superpower cut after ' cascade of bankruptcy ',dominican republic suffers nationwide superpower cut after ' cascade of bankruptcy ',dominican republic suffers nationwide superpower cut after  cascade of bankruptcy
BBC,How jihadists have brought a nation to a standstill with their fuel blockade,how jihadists have brought a nation to a standstill with their fuel blockade,how jihadists have brought a nation to a standstill with their fuel blockade
BBC,How jihadists have brought a nation to a standstill with their fuel encirclement,how jihadists have brought a nation to a standstill with their fuel encirclement,how jihadists have brought a nation to a standstill with their fuel encirclement
BBC,Clientele,clientele,clientele
BBC,Four potential obstacles in House vote to end US shutdown,four potential obstacles in house vote to end us shutdown,four potential obstacles in house vote to end us shutdown
BBC,Four possible obstacles in House vote to end america shutdown,four possible obstacles in house vote to end america shutdown,four possible obstacles in house vote to end america shutdown
BBC,New consoles used to come out every five years – so where's the PlayStation 6?,new consoles used to come out every five years – so where's the playstation 6?,new consoles used to come out every five years  so wheres the playstation
BBC,New console table used to come forbidden every five year – hence where ' s the PlayStation 6?,new console table used to come forbidden every five year – hence where ' s the playstation 6?,new console table used to come forbidden every five year  hence where  s the playstation
BBC,UK toy sales up as 'kidults' buy Lego and Pokémon,uk toy sales up as 'kidults' buy lego and pokémon,uk toy sales up as kidults buy lego and pokmon
BBC,UK miniature sales up as ' kidults ' buy Lego set and Pokémon,uk miniature sales up as ' kidults ' buy lego set and pokémon,uk miniature sales up as  kidults  buy lego set and pokmon
BBC,Battle over Chinese chip-maker rocks global car industry,battle over chinese chip-maker rocks global car industry,battle over chinese chipmaker rocks global car industry
BBC,Battle over Chinese chip - maker sway global elevator car industry,battle over chinese chip - maker sway global elevator car industry,battle over chinese chip  maker sway global elevator car industry
BBC,Sport,sport,sport
BBC,Mutation,mutation,mutation
BBC,'VAR has to rein its neck in' - how I'd change football for the fans,'var has to rein its neck in' - how i'd change football for the fans,var has to rein its neck in  how id change football for the fans
BBC,' VAR have to rein it neck opening in ' - how Atomic number 53 ' d alteration football for the fans,' var have to rein it neck opening in ' - how atomic number 53 ' d alteration football for the fans,var have to rein it neck opening in   how atomic number   d alteration football for the fans
BBC,Kerr 'relishing every moment' after first Chelsea start in 692 days,kerr 'relishing every moment' after first chelsea start in 692 days,kerr relishing every moment after first chelsea start in  days
BBC,Kerr ' relishing every import ' after first Chelsea start in 692 clarence day,kerr ' relishing every import ' after first chelsea start in 692 clarence day,kerr  relishing every import  after first chelsea start in  clarence day
BBC,Webb backs officials over disallowed Liverpool goal,webb backs officials over disallowed liverpool goal,webb backs officials over disallowed liverpool goal
BBC,Webb backs officials ended disallowed Liverpool goal,webb backs officials ended disallowed liverpool goal,webb backs officials ended disallowed liverpool goal
BBC,Wolff to sell stake valuing Mercedes F1 at £4.6bn,wolff to sell stake valuing mercedes f1 at £4.6bn,wolff to sell stake valuing mercedes f at bn
BBC,Kaspar friedrich wolff to sell stake assess Mercedes F1 at £ quatern. 6bn,kaspar friedrich wolff to sell stake assess mercedes f1 at £ quatern. 6bn,kaspar friedrich wolff to sell stake assess mercedes f at  quatern bn
BBC,Recommended Audio,recommended audio,recommended audio
BBC,Recommended Sound,recommended sound,recommended sound
BBC,Witness History,witness history,witness history
BBC,Attestor History,attestor history,attestor history
BBC,The Interview,the interview,the interview
BBC,The Consultation,the consultation,the consultation
BBC,Business Daily,business daily,business daily
BBC,Outlook,outlook,outlook
BBC,Mentality,mentality,mentality
BBC,The Documentary Podcast,the documentary podcast,the documentary podcast
BBC,Clientele Daily,clientele daily,clientele daily
BBC,The Infinite Monkey Cage,the infinite monkey cage,the infinite monkey cage
BBC,The Infinite Rapscallion Cage,the infinite rapscallion cage,the infinite rapscallion cage
BBC,Tech,tech,tech
BBC,Technical school,technical school,technical school
BBC,UK seeking to curb AI child sex abuse imagery with tougher testing,uk seeking to curb ai child sex abuse imagery with tougher testing,uk seeking to curb ai child sex abuse imagery with tougher testing
BBC,UK seeking to curb bradypus tridactylus child sexuality abuse imagery with tougher examination,uk seeking to curb bradypus tridactylus child sexuality abuse imagery with tougher examination,uk seeking to curb bradypus tridactylus child sexuality abuse imagery with tougher examination
BBC,Man dances for 144 hours to break video game marathon record,man dances for 144 hours to break video game marathon record,man dances for  hours to break video game marathon record
BBC,Man dance for gross hours to break video game marathon phonograph recording,man dance for gross hours to break video game marathon phonograph recording,man dance for gross hours to break video game marathon phonograph recording
BBC,Cryptoqueen who fled China for London mansion jailed over £5bn Bitcoin stash,cryptoqueen who fled china for london mansion jailed over £5bn bitcoin stash,cryptoqueen who fled china for london mansion jailed over bn bitcoin stash
BBC,Cryptoqueen who fly China for London planetary house jailed over £ 5bn Bitcoin stash,cryptoqueen who fly china for london planetary house jailed over £ 5bn bitcoin stash,cryptoqueen who fly china for london planetary house jailed over  bn bitcoin stash
BBC,TikTok creator 'so sorry' over cancer diagnosis lie,tiktok creator 'so sorry' over cancer diagnosis lie,tiktok creator so sorry over cancer diagnosis lie
BBC,TikTok divine ' so sorry ' over cancer diagnosis trygve halvden lie,tiktok divine ' so sorry ' over cancer diagnosis trygve halvden lie,tiktok divine  so sorry  over cancer diagnosis trygve halvden lie
BBC,Science & health,science & health,science  health
BBC,Scientific discipline & health,scientific discipline & health,scientific discipline  health
BBC,"'My son, 4, has childhood dementia - I'm heartbroken'","'my son, 4, has childhood dementia - i'm heartbroken'",my son  has childhood dementia  im heartbroken
BBC,"' My logos, 4, have childhood dementia - I ' m heartbroken '","' my logos, 4, have childhood dementia - i ' m heartbroken '",my logos  have childhood dementia  i  m heartbroken
BBC,Three easy ways to help you beat the winter blues,three easy ways to help you beat the winter blues,three easy ways to help you beat the winter blues
BBC,Three easy way to aid you beat the winter blues,three easy way to aid you beat the winter blues,three easy way to aid you beat the winter blues
BBC,William recalls Kate cancer talk with children,william recalls kate cancer talk with children,william recalls kate cancer talk with children
BBC,William recalls Kate crab talk with kid,william recalls kate crab talk with kid,william recalls kate crab talk with kid
BBC,"Canada loses its measles-free status, with US on track to follow","canada loses its measles-free status, with us on track to follow",canada loses its measlesfree status with us on track to follow
BBC,"Canada recede its morbilli - free position, with US on cartroad to follow","canada recede its morbilli - free position, with us on cartroad to follow",canada recede its morbilli  free position with us on cartroad to follow
BBC,Refinement,refinement,refinement
BBC,The truth about Tudor England's 'most hated woman',the truth about tudor england's 'most hated woman',the truth about tudor englands most hated woman
BBC,The truth about House of tudor England ' s ' nearly scorned woman ',the truth about house of tudor england ' s ' nearly scorned woman ',the truth about house of tudor england  s  nearly scorned woman
BBC,"Jilly Cooper died from head injury, says coroner","jilly cooper died from head injury, says coroner",jilly cooper died from head injury says coroner
BBC,"Jilly Cooper died from caput injury, says medical examiner","jilly cooper died from caput injury, says medical examiner",jilly cooper died from caput injury says medical examiner
BBC,"'We've got to fight for our journalism,' BBC director general tells staff","'we've got to fight for our journalism,' bbc director general tells staff",weve got to fight for our journalism bbc director general tells staff
BBC,"' We ' ve got to fight for our news media, ' BBC director general tells stave","' we ' ve got to fight for our news media, ' bbc director general tells stave",we  ve got to fight for our news media  bbc director general tells stave
BBC,Ariana Grande: Going brunette is not about saying goodbye to Glinda,ariana grande: going brunette is not about saying goodbye to glinda,ariana grande going brunette is not about saying goodbye to glinda
BBC,Ariana Grande: Lead brunette follow not about saying auf wiedersehen to Glinda,ariana grande: lead brunette follow not about saying auf wiedersehen to glinda,ariana grande lead brunette follow not about saying auf wiedersehen to glinda
BBC,Arts,arts,arts
BBC,Artwork,artwork,artwork
BBC,Why history's 'most controversial' queen was so hated,why history's 'most controversial' queen was so hated,why historys most controversial queen was so hated
BBC,Why history ' s ' most controversial ' pouf was so detested,why history ' s ' most controversial ' pouf was so detested,why history  s  most controversial  pouf was so detested
BBC,"The chair that took 10,000 hours to create","the chair that took 10,000 hours to create",the chair that took  hours to create
BBC,"The chair that took tenner, 000 hour to make","the chair that took tenner, 000 hour to make",the chair that took tenner  hour to make
BBC,Why a poem outraged 1980s Britain,why a poem outraged 1980s britain,why a poem outraged s britain
BBC,Why a poem scandalise 1980s U.k.,why a poem scandalise 1980s u.k.,why a poem scandalise s uk
BBC,The clues hidden in a true-crime masterpiece,the clues hidden in a true-crime masterpiece,the clues hidden in a truecrime masterpiece
BBC,The clew hidden in a true - crime chef d'oeuvre,the clew hidden in a true - crime chef d'oeuvre,the clew hidden in a true  crime chef doeuvre
BBC,Watch,watch,watch
BBC,Ticker,ticker,ticker
BBC,Lion saves pregnant hyena from dotty canis familiaris attack,lion saves pregnant hyena from dotty canis familiaris attack,lion saves pregnant hyena from dotty canis familiaris attack
BBC,Travel,travel,travel
BBC,Locomotion,locomotion,locomotion
BBC,Where to find Boston's best clam chowder,where to find boston's best clam chowder,where to find bostons best clam chowder
BBC,Where to find Boston ' s best buck chowder,where to find boston ' s best buck chowder,where to find boston  s best buck chowder
BBC,Why you should book your 2026 eclipse trip today,why you should book your 2026 eclipse trip today,why you should book your  eclipse trip today
BBC,Wherefore you should book your 2026 eclipse misstep today,wherefore you should book your 2026 eclipse misstep today,wherefore you should book your  eclipse misstep today
BBC,How soon is too soon to visit after a disaster?,how soon is too soon to visit after a disaster?,how soon is too soon to visit after a disaster
BBC,How soon be too soon to visit after a catastrophe?,how soon be too soon to visit after a catastrophe?,how soon be too soon to visit after a catastrophe
BBC,Five of the best rooftop bars in Chicago,five of the best rooftop bars in chicago,five of the best rooftop bars in chicago
BBC,Five of the right rooftop bars in Chicago,five of the right rooftop bars in chicago,five of the right rooftop bars in chicago
BBC,World's Table,world's table,worlds table
BBC,Cosmos ' s Table,cosmos ' s table,cosmos  s table
BBC,What Mamdani's win means for NYC's food scene,what mamdani's win means for nyc's food scene,what mamdanis win means for nycs food scene
BBC,What Mamdani ' s profits means for NYC ' s intellectual nourishment scene,what mamdani ' s profits means for nyc ' s intellectual nourishment scene,what mamdani  s profits means for nyc  s intellectual nourishment scene
BBC,Why Marseille restaurants are offering gourmet food for €1,why marseille restaurants are offering gourmet food for €1,why marseille restaurants are offering gourmet food for
BBC,Why Marseille eating place are offering foodie food for thought for € 1,why marseille eating place are offering foodie food for thought for € 1,why marseille eating place are offering foodie food for thought for
BBC,100 dishes in 40 days: India's epic wedding feast,100 dishes in 40 days: india's epic wedding feast,dishes in  days indias epic wedding feast
BBC,100 dish in 40 daytime: India ' south epic wedding feast,100 dish in 40 daytime: india ' south epic wedding feast,dish in  daytime india  south epic wedding feast
BBC,The controversial snack that fuels Norwegian trips,the controversial snack that fuels norwegian trips,the controversial snack that fuels norwegian trips
BBC,The controversial snack that fuels Norse trips,the controversial snack that fuels norse trips,the controversial snack that fuels norse trips
BBC,Earth,earth,earth
BBC,Earthly concern,earthly concern,earthly concern
BBC,New 'Lucifer' bee with devil-like horns found in Australia,new 'lucifer' bee with devil-like horns found in australia,new lucifer bee with devillike horns found in australia
BBC,New ' The tempter ' bee with devil - like horns found in Commonwealth of australia,new ' the tempter ' bee with devil - like horns found in commonwealth of australia,new  the tempter  bee with devil  like horns found in commonwealth of australia
BBC,'This animal spared my life': Biologist bitten in head by shark hopes to meet it again,'this animal spared my life': biologist bitten in head by shark hopes to meet it again,this animal spared my life biologist bitten in head by shark hopes to meet it again
BBC,' This animal spar my life ': Life scientist bitten in head by shark hope to encounter it again,' this animal spar my life ': life scientist bitten in head by shark hope to encounter it again,this animal spar my life  life scientist bitten in head by shark hope to encounter it again
BBC,"Once a sure thing, Australia's bid to host COP31 falters amid deadlock with Turkey","once a sure thing, australia's bid to host cop31 falters amid deadlock with turkey",once a sure thing australias bid to host cop falters amid deadlock with turkey
BBC,"Once a trusted thing, Australia ' randomness bid to host COP31 falters amid deadlock with Turkey","once a trusted thing, australia ' randomness bid to host cop31 falters amid deadlock with turkey",once a trusted thing australia  randomness bid to host cop falters amid deadlock with turkey
BBC,Saving the Amazon's mystical pink river dolphins,saving the amazon's mystical pink river dolphins,saving the amazons mystical pink river dolphins
BBC,Saving the Amazon river ' s occult pinko river dolphins,saving the amazon river ' s occult pinko river dolphins,saving the amazon river  s occult pinko river dolphins
BBC,Video,video,video
BBC,Telecasting,telecasting,telecasting
BBC,A rare glimpse into the world's most trafficked mammal,a rare glimpse into the world's most trafficked mammal,a rare glimpse into the worlds most trafficked mammal
BBC,A rare glance into the world ' s most trafficked mammalian,a rare glance into the world ' s most trafficked mammalian,a rare glance into the world  s most trafficked mammalian
BBC,Why your brain can't help copying the way others speak,why your brain can't help copying the way others speak,why your brain cant help copying the way others speak
BBC,Why your brain can ' t assistance simulate the way others speak,why your brain can ' t assistance simulate the way others speak,why your brain can  t assistance simulate the way others speak
BBC,What lies behind Kazakhstan's mysterious stone spheres?,what lies behind kazakhstan's mysterious stone spheres?,what lies behind kazakhstans mysterious stone spheres
BBC,What lies behind Kazakh ' s mysterious pit spheres?,what lies behind kazakh ' s mysterious pit spheres?,what lies behind kazakh  s mysterious pit spheres
BBC,Döstädning: The gentle art of Swedish death cleaning,döstädning: the gentle art of swedish death cleaning,dstdning the gentle art of swedish death cleaning
BBC,Döstädning: The gentle nontextual matter of Swedish expiry cleaning,döstädning: the gentle nontextual matter of swedish expiry cleaning,dstdning the gentle nontextual matter of swedish expiry cleaning
BBC,Discover more from the BBC,discover more from the bbc,discover more from the bbc
BBC,US Politics Unspun,us politics unspun,us politics unspun
BBC,Download the BBC app,download the bbc app,download the bbc app
BBC,Sign up to World of Business,sign up to world of business,sign up to world of business
BBC,Sign upwards to World of Business,sign upwards to world of business,sign upwards to world of business
BBC,Register for a BBC account,register for a bbc account,register for a bbc account
BBC,Sign up for the Essential List,sign up for the essential list,sign up for the essential list
BBC,Signboard up for the Essential List,signboard up for the essential list,signboard up for the essential list
CNN,COP30 in Brazil,cop30 in brazil,cop in brazil
CNN,Islamabad suicide attack,islamabad suicide attack,islamabad suicide attack
CNN,Islamabad felo de se attack,islamabad felo de se attack,islamabad felo de se attack
CNN,What is ‘Project Athena’?,what is ‘project athena’?,what is project athena
CNN,What is ‘ Task Athena ’?,what is ‘ task athena ’?,what is  task athena
CNN,Futuristic planes,futuristic planes,futuristic planes
CNN,Futuristic airplane,futuristic airplane,futuristic airplane
CNN,Sinner-Alcaraz rivalry,sinner-alcaraz rivalry,sinneralcaraz rivalry
CNN,Sinner - Alcaraz rivalry,sinner - alcaraz rivalry,sinner  alcaraz rivalry
CNN,How to ‘snore-proof’ sexual relationships,how to ‘snore-proof’ sexual relationships,how to snoreproof sexual relationships
CNN,How to ‘ snore - proof ’ sexual relationship,how to ‘ snore - proof ’ sexual relationship,how to  snore  proof  sexual relationship
CNN,‘Toy Story 5’,‘toy story 5’,toy story
CNN,‘ Toy Write up 5 ’,‘ toy write up 5 ’,toy write up
CNN,"As US House of Representatives reopens for key vote, things may worsen for Speaker Johnson","as us house of representatives reopens for key vote, things may worsen for speaker johnson",as us house of representatives reopens for key vote things may worsen for speaker johnson
CNN,"As US House of Spokesperson reopens for key vote, things may worsen for Speaker system Lyndon johnson","as us house of spokesperson reopens for key vote, things may worsen for speaker system lyndon johnson",as us house of spokesperson reopens for key vote things may worsen for speaker system lyndon johnson
CNN,What’s in the bill to reopen the federal government?,what’s in the bill to reopen the federal government?,whats in the bill to reopen the federal government
CNN,What ’ mho in the federal reserve note to reopen the union government?,what ’ mho in the federal reserve note to reopen the union government?,what  mho in the federal reserve note to reopen the union government
CNN,Bridge partially collapses in China,bridge partially collapses in china,bridge partially collapses in china
CNN,Bridge partially collapses in Republic of china,bridge partially collapses in republic of china,bridge partially collapses in republic of china
CNN,He was dictator who led sweeping massacres. Why is he now a ‘national hero’?,he was dictator who led sweeping massacres. why is he now a ‘national hero’?,he was dictator who led sweeping massacres why is he now a national hero
CNN,He cost dictator world health organization lead sweeping massacres. Why constitute he now a ‘ national hero ’?,he cost dictator world health organization lead sweeping massacres. why constitute he now a ‘ national hero ’?,he cost dictator world health organization lead sweeping massacres why constitute he now a  national hero
CNN,"Decision comes amid concerns about the legality of US military strikes on alleged drug boats, sources tell CNN","decision comes amid concerns about the legality of us military strikes on alleged drug boats, sources tell cnn",decision comes amid concerns about the legality of us military strikes on alleged drug boats sources tell cnn
CNN,"Decision comes amid concerns about the legality of US military ten strike on alleged drug boats, source tell CNN","decision comes amid concerns about the legality of us military ten strike on alleged drug boats, source tell cnn",decision comes amid concerns about the legality of us military ten strike on alleged drug boats source tell cnn
CNN,A timeline of US strikes on boats that have killed 76,a timeline of us strikes on boats that have killed 76,a timeline of us strikes on boats that have killed
CNN,A timeline of atomic number 92 strikes on boats that give killed 76,a timeline of atomic number 92 strikes on boats that give killed 76,a timeline of atomic number  strikes on boats that give killed
CNN,Venezuela announces ‘massive mobilization’ of military forces as US’ largest warship sails into region,venezuela announces ‘massive mobilization’ of military forces as us’ largest warship sails into region,venezuela announces massive mobilization of military forces as us largest warship sails into region
CNN,Venezuela announces ‘ massive militarisation ’ of military forces as uranium ’ big war vessel sails into region,venezuela announces ‘ massive militarisation ’ of military forces as uranium ’ big war vessel sails into region,venezuela announces  massive militarisation  of military forces as uranium  big war vessel sails into region
CNN,Here’s what the US military is using to strike alleged drug boats,here’s what the us military is using to strike alleged drug boats,heres what the us military is using to strike alleged drug boats
CNN,Here ’ s what the US military is apply to strike alleged drug boats,here ’ s what the us military is apply to strike alleged drug boats,here  s what the us military is apply to strike alleged drug boats
CNN,Catch up on today’s global news,catch up on today’s global news,catch up on todays global news
CNN,Catch up on today ’ s spherical news,catch up on today ’ s spherical news,catch up on today  s spherical news
